designation,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 2927032654756015104,2927032654756015104,102.18312162057538,-20.503802498269437,1.3905152476950557,0.13969937,-4.550425776829689,-1.408598655107915,1.0328922,18.416954,2.2350101,,VARIABLE,0,false,false,false,true,false,true,false,3611.0234,4.3933,-0.6762,867.656,0.6589,0.4472,0.2641,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6630842149481961
Gaia DR3 2926826977358298880,2926826977358298880,101.7192716497205,-21.35341600072521,1.3971903910362615,0.025632713,-4.338946351520806,-1.4158111501165584,1.3798252,11.469854,0.21344852,25.113937,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6633792421076485
Gaia DR3 2927039801573886336,2927039801573886336,102.09656531012097,-20.34244262559647,1.3669582945000862,0.80099154,-8.419886739544154,6.0923583402832735,1.1027681,20.513517,2.0891285,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6635319305068744
Gaia DR3 2927281140081999232,2927281140081999232,101.21705026292541,-20.11332828841742,1.36011350408372,0.20857134,3.343917251672896,-14.655949406115877,0.980298,18.874182,2.4992657,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,3281.072,4.9258,-0.0734,419.5939,0.3746,0.2377,0.1592,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6657687306338859
Gaia DR3 2927035575322382464,2927035575322382464,102.14861504996867,-20.417581504283913,1.377849861542568,0.6890528,5.185791630272288,-1.9457560604530397,1.0136902,20.454765,2.15555,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6669919961079747
Gaia DR3 2926972971883380864,2926972971883380864,102.22563052255906,-20.759453928642927,1.4065830471090859,0.52780867,-3.0953638734563356,1.9672305207517693,1.2465875,19.996681,1.0007648,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.667800621286442
Gaia DR3 2927094674077460992,2927094674077460992,100.85708625725363,-20.98731332997983,1.37358502805527,1.1382239,-1.3084622419470637,3.0772649549750497,1.0546374,20.73739,1.2439995,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6691666526502553
Gaia DR3 2927272069106509184,2927272069106509184,100.9732044391315,-20.279471022006483,1.4026170542274774,0.1340091,-7.556830367473484,5.075678117669814,0.9883812,18.546364,2.1877346,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,3512.0667,4.6158,-1.1291,474.8569,0.4456,0.3024,0.176,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6696231167177314
Gaia DR3 2926972525209002880,2926972525209002880,102.22308251369668,-20.80978771114689,1.4056199874976714,1.1409335,0.38014399700956353,3.7437239129141586,1.121242,20.68401,1.6063137,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6702866590729603
Gaia DR3 2926959292410692480,2926959292410692480,102.21993109126464,-20.830662035499824,1.389845938710345,0.12427524,-1.0500490928958734,1.5822184342867187,1.0223882,18.229773,2.094078,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,3818.577,4.3945,-0.0819,1255.5907,0.5807,0.4026,0.2309,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6704929760190208
Gaia DR3 2926972555269811200,2926972555269811200,102.2249390531722,-20.803898998400747,1.362299866409311,0.91868055,-0.9258013280922219,2.84141049556278,1.056141,20.680794,1.1689644,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6712458342572611
Gaia DR3 2927056706567330048,2927056706567330048,101.97821464697601,-20.206092071931653,1.3748055798615042,1.4130203,-0.07264964497842455,1.919265905563465,0.93814826,20.63741,0.9553318,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6728591799633287
Gaia DR3 2926933075929649152,2926933075929649152,102.1508152319302,-21.032125137083042,1.403576195673897,0.29777932,-11.395169354327056,-1.1045949837825546,1.0008482,19.523926,2.013609,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,,NGC 2287,101.51291667,-20.71861111,1.36,-4.339,-1.381,23.37,2000,0.6734647460898677
